timeStamp,sales,transactions
2013-05-20 00:00:00,3610.92,538
2013-05-21 00:00:00,2886.52,483
2013-05-22 00:00:00,3363.72,535
2013-05-23 00:00:00,3312.49,515
2013-05-24 00:00:00,3587.8,531
2013-05-25 00:00:00,3024.42,425
2013-05-26 00:00:00,2365.69,328
2013-05-27 00:00:00,1726.19,263
2013-05-28 00:00:00,2861.96,441
2013-05-29 00:00:00,3066.2,499
2013-05-30 00:00:00,3352.71,537
2013-05-31 00:00:00,3815.18,552
2013-06-01 00:00:00,2449.78,338
2013-06-02 00:00:00,1977.78,300
2013-06-03 00:00:00,3119.93,476
2013-06-04 00:00:00,3117.62,464
2013-06-05 00:00:00,3272.29,493
2013-06-06 00:00:00,3116.78,472
2013-06-07 00:00:00,3284.96,475
2013-06-08 00:00:00,2528.94,374
2013-06-09 00:00:00,2340.65,315
2013-06-10 00:00:00,3333.92,507
2013-06-11 00:00:00,2884.99,467
2013-06-13 00:00:00,3455.35,498
2013-06-14 00:00:00,3410.7,506
2013-06-15 00:00:00,2509.41,367
2013-06-16 00:00:00,1636.86,259
2013-06-17 00:00:00,3396.51,497
2013-06-18 00:00:00,2803.46,405
2013-06-19 00:00:00,3235.79,497
2013-06-20 00:00:00,3024.54,457
2013-06-21 00:00:00,3223.7,477
2013-06-22 00:00:00,2487.82,360
2013-06-23 00:00:00,1942.28,282
2013-06-24 00:00:00,3189.17,481
2013-06-25 00:00:00,3288.06,490
2013-06-26 00:00:00,3429.49,524
2013-06-27 00:00:00,3126.36,494
2013-06-28 00:00:00,3339.71,462
2013-06-29 00:00:00,2656.74,334
2013-06-30 00:00:00,2090.36,296
2013-07-01 00:00:00,3054.45,469
2013-07-02 00:00:00,2600.45,412
2013-07-03 00:00:00,3230.91,479
2013-07-04 00:00:00,1293.64,207
2013-07-05 00:00:00,2694.37,425
2013-07-06 00:00:00,2154.44,323
2013-07-07 00:00:00,2106.62,293
2013-07-08 00:00:00,2958.56,442
2013-07-09 00:00:00,2986.81,455
2013-07-10 00:00:00,3019.88,462
2013-07-11 00:00:00,3185.77,477
2013-07-12 00:00:00,3346.35,490
2013-07-13 00:00:00,2732.14,388
2013-07-14 00:00:00,2245.8,305
2013-07-15 00:00:00,3503.41,508
2013-07-16 00:00:00,3364.81,455
2013-07-17 00:00:00,3278.36,488
2013-07-18 00:00:00,3131.3,473
2013-07-19 00:00:00,3895.12,532
2013-07-20 00:00:00,3067.97,405
2013-07-21 00:00:00,2057.37,318
2013-07-22 00:00:00,3178.83,485
2013-07-23 00:00:00,2834.59,449
2013-07-24 00:00:00,3257.11,468
2013-07-25 00:00:00,3278.39,472
2013-07-26 00:00:00,3595.21,510
2013-07-27 00:00:00,2645.11,373
2013-07-28 00:00:00,1978,276
2013-07-29 00:00:00,2886.2,451
2013-07-30 00:00:00,3044.08,438
2013-07-31 00:00:00,3699.18,537
2013-08-01 00:00:00,3576.69,519
2013-08-02 00:00:00,3701.46,565
2013-08-03 00:00:00,2940.13,415
2013-08-04 00:00:00,1908.45,255
2013-08-05 00:00:00,3153.47,497
2013-08-06 00:00:00,2799.8,431
2013-08-07 00:00:00,3429.09,510
2013-08-08 00:00:00,3344.51,496
2013-08-09 00:00:00,3402.07,473
2013-08-10 00:00:00,2649.87,367
2013-08-11 00:00:00,2111.93,286
2013-08-12 00:00:00,3391.01,515
2013-08-13 00:00:00,3138.04,463
2013-08-14 00:00:00,3732.49,543
2013-08-15 00:00:00,3603.02,491
2013-08-16 00:00:00,3884.99,528
2013-08-17 00:00:00,2890.19,408
2013-08-18 00:00:00,1946.06,287
