timeStamp,sales,transactions
2013-05-19 00:00:00,4085.33,503
2013-05-20 00:00:00,3677.13,539
2013-05-21 00:00:00,3720.85,574
2013-05-22 00:00:00,3829.84,560
2013-05-23 00:00:00,3998.29,540
2013-05-24 00:00:00,5904.57,762
2013-05-25 00:00:00,4213.56,512
2013-05-26 00:00:00,3733.07,463
2013-05-27 00:00:00,3712.93,438
2013-05-28 00:00:00,3627.75,568
2013-05-29 00:00:00,3855.33,580
2013-05-30 00:00:00,4664.14,618
2013-05-31 00:00:00,5799.26,770
2013-06-01 00:00:00,4283.83,558
2013-06-02 00:00:00,4129.28,533
2013-06-03 00:00:00,3864.15,563
2013-06-04 00:00:00,4302.09,608
2013-06-05 00:00:00,4550.51,633
2013-06-06 00:00:00,4716,649
2013-06-07 00:00:00,5746.06,748
2013-06-08 00:00:00,5238.27,653
2013-06-09 00:00:00,5019.29,623
2013-06-10 00:00:00,3534.13,514
2013-06-11 00:00:00,3840.62,549
2013-06-12 00:00:00,3876.4,541
2013-06-13 00:00:00,4327.26,585
2013-06-14 00:00:00,5657.49,676
2013-06-15 00:00:00,4471.91,549
2013-06-16 00:00:00,3808.12,478
2013-06-17 00:00:00,3537.98,503
2013-06-18 00:00:00,3457.49,512
2013-06-19 00:00:00,3842.59,543
2013-06-20 00:00:00,4212.28,550
2013-06-21 00:00:00,5407.11,723
2013-06-22 00:00:00,4549.61,584
2013-06-23 00:00:00,4652.7,586
2013-06-24 00:00:00,3391.64,482
2013-06-25 00:00:00,3722.75,537
2013-06-26 00:00:00,3634.89,536
2013-06-27 00:00:00,4195.53,597
2013-06-28 00:00:00,5642.68,695
2013-06-29 00:00:00,4337.57,609
2013-06-30 00:00:00,4788.72,573
2013-07-01 00:00:00,4277.32,658
2013-07-02 00:00:00,3954.64,546
2013-07-03 00:00:00,5948.14,842
2013-07-04 00:00:00,3910.62,461
2013-07-05 00:00:00,4875.06,680
2013-07-06 00:00:00,3875.16,494
2013-07-07 00:00:00,5543.12,657
2013-07-08 00:00:00,3761.56,591
2013-07-09 00:00:00,3570.1,517
2013-07-10 00:00:00,3226.03,439
2013-07-11 00:00:00,3476.88,482
2013-07-12 00:00:00,4737.69,631
2013-07-13 00:00:00,3768.84,454
2013-07-14 00:00:00,3754.36,486
2013-07-15 00:00:00,3107.75,432
2013-07-16 00:00:00,3407.95,500
2013-07-17 00:00:00,3628.49,597
2013-07-18 00:00:00,4808.81,655
2013-07-19 00:00:00,6030.29,808
2013-07-20 00:00:00,5087.74,642
2013-07-21 00:00:00,5214.27,634
2013-07-22 00:00:00,4308.43,599
2013-07-23 00:00:00,3954.94,638
2013-07-24 00:00:00,5055.15,768
2013-07-25 00:00:00,3991.51,656
2013-07-26 00:00:00,6129.36,830
2013-07-27 00:00:00,4891.8,603
2013-07-28 00:00:00,5521.29,664
2013-07-29 00:00:00,4359.64,622
2013-07-30 00:00:00,3579.67,528
2013-07-31 00:00:00,4350.28,599
2013-08-01 00:00:00,5062.83,688
2013-08-02 00:00:00,6655.53,843
2013-08-03 00:00:00,5628.37,705
2013-08-04 00:00:00,5609.86,694
2013-08-05 00:00:00,4287.13,602
2013-08-06 00:00:00,4141.04,593
2013-08-07 00:00:00,4431.28,647
2013-08-08 00:00:00,4558.19,653
2013-08-09 00:00:00,6425.99,816
2013-08-10 00:00:00,5558.64,700
2013-08-11 00:00:00,5502.98,703
2013-08-12 00:00:00,4346.29,630
2013-08-13 00:00:00,4101.71,562
2013-08-14 00:00:00,4295.42,615
2013-08-15 00:00:00,4783.42,663
2013-08-16 00:00:00,5786.54,794
2013-08-17 00:00:00,5031.37,636
2013-08-18 00:00:00,5836.27,756
2013-08-19 00:00:00,3525.32,518
2013-08-20 00:00:00,3589.45,538
2013-08-21 00:00:00,3826.71,559
2013-08-22 00:00:00,4192.74,594
2013-08-23 00:00:00,5328.46,723
2013-08-24 00:00:00,4794.8,666
2013-08-25 00:00:00,4121.15,565
2013-08-26 00:00:00,3575.48,502
2013-08-27 00:00:00,3372.78,519
2013-08-28 00:00:00,3515.87,550
2013-08-29 00:00:00,4274.53,609
2013-08-30 00:00:00,7125.68,957
2013-08-31 00:00:00,4670.56,563
2013-09-01 00:00:00,3983.53,477
2013-09-02 00:00:00,5464.77,713
2013-09-03 00:00:00,3857.39,566
2013-09-04 00:00:00,3251.63,510
2013-09-05 00:00:00,3787.29,592
2013-09-06 00:00:00,5617.26,798
2013-09-07 00:00:00,4928.32,631
2013-09-08 00:00:00,4031.02,535
2013-09-09 00:00:00,3642.21,535
2013-09-10 00:00:00,3634.33,575
