timeStamp,sales,transactions
2013-05-19 00:00:00,2251.48,307
2013-05-20 00:00:00,2763.56,447
2013-05-21 00:00:00,3222.92,510
2013-05-22 00:00:00,3128.96,524
2013-05-23 00:00:00,3129.78,487
2013-05-24 00:00:00,3134.18,470
2013-05-25 00:00:00,2817.19,379
2013-05-26 00:00:00,2521.29,342
2013-05-27 00:00:00,1951.28,300
2013-05-28 00:00:00,3348.95,539
2013-05-29 00:00:00,3298.81,509
2013-05-30 00:00:00,3563.01,532
2013-05-31 00:00:00,3650.35,553
2013-06-01 00:00:00,3636.76,469
2013-06-02 00:00:00,2167.22,310
2013-06-03 00:00:00,3221.08,520
2013-06-04 00:00:00,3197.11,512
2013-06-05 00:00:00,3171.56,507
2013-06-06 00:00:00,3302.65,522
2013-06-07 00:00:00,3170.77,512
2013-06-08 00:00:00,2498.17,349
2013-06-09 00:00:00,2145.65,307
2013-06-10 00:00:00,3262.89,529
2013-06-11 00:00:00,3524.96,534
2013-06-12 00:00:00,3727.01,545
2013-06-13 00:00:00,3712.06,541
2013-06-14 00:00:00,3679.87,537
2013-06-15 00:00:00,2680.39,356
2013-06-16 00:00:00,1993.11,275
2013-06-17 00:00:00,3681.82,553
2013-06-18 00:00:00,3082.25,483
2013-06-19 00:00:00,3542.49,555
2013-06-20 00:00:00,3580.39,572
2013-06-21 00:00:00,3705.37,546
2013-06-22 00:00:00,3253.52,454
2013-06-23 00:00:00,2442.92,335
2013-06-24 00:00:00,3362.51,507
2013-06-25 00:00:00,3244.08,534
2013-06-26 00:00:00,3366.85,504
2013-06-27 00:00:00,3694.13,548
2013-06-28 00:00:00,3673.08,512
2013-06-29 00:00:00,3026.82,408
2013-06-30 00:00:00,2177.51,298
2013-07-01 00:00:00,3523.7,522
2013-07-02 00:00:00,3423.75,520
2013-07-03 00:00:00,3756.53,571
2013-07-04 00:00:00,2688.76,327
2013-07-05 00:00:00,4287.11,561
2013-07-06 00:00:00,2863.26,394
2013-07-07 00:00:00,1977.24,293
2013-07-08 00:00:00,3676.98,557
2013-07-09 00:00:00,3525.64,536
2013-07-10 00:00:00,3602.99,562
2013-07-11 00:00:00,3632.41,503
2013-07-12 00:00:00,4119.17,575
2013-07-13 00:00:00,3363.45,413
2013-07-14 00:00:00,2502.75,339
2013-07-15 00:00:00,3638.41,523
2013-07-16 00:00:00,3451.52,527
2013-07-17 00:00:00,3730.66,543
2013-07-18 00:00:00,4059.25,570
2013-07-19 00:00:00,4150.19,550
2013-07-20 00:00:00,2986.29,387
2013-07-21 00:00:00,2654.65,354
2013-07-22 00:00:00,3288.29,507
2013-07-23 00:00:00,3596.62,526
2013-07-24 00:00:00,3469.76,524
2013-07-25 00:00:00,3846.44,520
2013-07-26 00:00:00,4002.14,543
2013-07-27 00:00:00,3144.88,400
2013-07-28 00:00:00,2400.21,320
2013-07-29 00:00:00,3772.37,541
