win_ratio,total_accuracy,kill_to_death_ratio,total_wins_per_hour,mvp_per_round,total_headshots_per_round,accuracy_ssg08,accuracy_awp,accuracy_deagle,accuracy_aug,accuracy_scar20,accuracy_m4a1,accuracy_ak47,accuracy_bizon,accuracy_elite,accuracy_famas,accuracy_fiveseven,accuracy_g3sg1,accuracy_galilar,accuracy_glock,accuracy_hkp2000,accuracy_m249,accuracy_mac10,accuracy_mag7,accuracy_mp7,accuracy_mp9,accuracy_negev,accuracy_nova,accuracy_p250,accuracy_p90,accuracy_sawedoff,accuracy_sg556,accuracy_tec9,accuracy_ump45,accuracy_xm1014,total_games_owned,VACBanned
0.78,0.18,1.74,38.88,0.12,0.42,0.3,0.36,0.22,0.21,0.2,0.19,0.16,0.16,0.21,0.2,0.21,0.18,0.18,0.18,0.2,0.12,0.22,0.23,0.23,0.25,0.09,0.22,0.2,0.16,0.18,0.2,0.16,0.23,0.21,74,1
0.51,0.19,1.09,22.09,0.1,0.33,0.34,0.34,0.29,0.23,0.25,0.2,0.17,0.16,0.23,0.18,0.2,0.17,0.15,0.19,0.21,0.09,0.22,0.2,0.21,0.19,0.08,0.19,0.21,0.16,0.11,0.19,0.16,0.16,0.22,61,1
0.46,0.15,0.63,18.65,0.08,0.62,0.21,0.27,0.17,0.1,0.63,0.15,0.12,0.15,0.27,0.14,0.18,0.09,0.1,0.12,0.1,0.06,0.1,0.16,0.13,0.13,0.13,0.15,0.17,0.17,0.12,0.06,0.16,0.12,0.2,22,1
0.53,0.18,2.37,27.3,0.15,0.37,0.46,0.45,0.45,0.31,0.24,0.19,0.19,0.34,0.18,0.17,0.24,0.28,0.2,0.16,0.18,0.31,0.28,0.18,0.23,0.15,0.14,0.21,0.17,0.18,0.13,0.23,0.45,0.28,0.26,33,1
0.76,0.18,3.3,31.32,0.41,1.49,0.5,0.44,0.37,0.35,0.15,0.17,0.13,0.12,0.18,0.24,0.19,0.22,0.1,0.21,0.21,0.16,0.13,0.28,0.14,0.11,0.06,0.55,0.14,0.17,0.16,0.26,0.11,0.29,0.21,42,1
0.52,0.18,0.99,25.66,0.12,0.42,0.36,0.4,0.24,0.21,0.22,0.18,0.17,0.17,0.19,0.18,0.2,0.19,0.16,0.17,0.21,0.15,0.19,0.19,0.22,0.18,0.08,0.19,0.2,0.17,0.15,0.2,0.22,0.22,0.21,21,1
0.48,0.17,1.09,20.75,0.08,0.31,0.31,0.37,0.18,0.19,0.17,0.16,0.15,0.18,0.18,0.16,0.15,0.14,0.14,0.16,0.17,0.16,0.21,0.19,0.19,0.19,0.06,0.22,0.21,0.16,0.15,0.16,0.11,0.17,0.17,13,1
0.67,0.18,2.35,33.07,0.31,0.46,0.46,0.5,0.22,0.23,0.28,0.17,0.12,0.1,0.24,0.16,0.26,0.22,0.2,0.2,0.22,0.06,0.18,0.13,0.14,0.14,0.07,0.11,0.18,0.12,0.06,0.24,0.17,0.09,0.11,10,1
0.55,0.24,1.63,10.01,0.15,2.61,0.32,0.49,0.18,0.14,0.28,0.2,0.18,0.2,0.12,0.14,,,0.22,0.21,0.25,0.08,,0.32,0.15,0.17,0.07,0.18,0.27,0.16,,0.14,0.08,0.1,0.16,11,1
0.54,0.19,1.26,26.33,0.17,0.34,0.34,0.39,0.2,0.2,0.27,0.17,0.16,0.17,0.16,0.19,0.12,0.23,0.13,0.14,0.19,0.1,0.18,0.21,0.19,0.12,0.05,0.19,0.17,0.16,0.2,0.16,0.17,0.15,0.17,60,1
0.53,0.18,1.39,25.04,0.14,0.43,0.29,0.36,0.17,0.18,0.18,0.18,0.17,0.24,0.28,0.19,0.2,0.19,0.22,0.21,0.24,0.08,0.24,0.19,0.24,0.23,0.12,0.18,0.2,0.13,0.12,0.2,0.26,0.13,0.24,25,1
0.46,0.13,0.65,17.55,0.05,0.26,0.22,0.28,0.13,0.14,0.15,0.1,0.11,0.13,0.25,0.13,0.11,0.03,0.08,0.12,0.16,0.13,0.39,0.06,0.18,0.14,0.08,0.24,0.12,0.15,0.08,0.11,0.19,0.19,0.09,12,1
0.51,0.19,0.85,25.64,0.08,0.32,0.36,0.34,0.31,0.22,0.42,0.18,0.15,0.22,0.2,0.17,0.15,,0.16,0.2,0.2,0.13,0.2,0.2,0.21,0.18,0.09,0.23,0.24,0.18,0.19,0.19,0.21,0.17,0.22,55,1
0.54,0.09,0.89,11.84,0.07,0.79,0.14,0.2,0.11,0.1,0.09,0.09,0.07,0.1,0.16,0.08,0.22,0.15,0.09,0.12,0.11,0.04,0.09,0.1,0.11,0.1,0.03,0.11,0.14,0.12,0.1,0.08,0.07,0.1,0.12,18,1
0.89,0.2,3.82,20.64,0.64,2.22,0.5,0.45,0.37,0.2,0.42,0.17,0.18,0.11,0.3,0.42,0.26,0.31,0.19,0.33,0.29,0.14,0.53,0.26,0.19,0.38,0.14,0.28,0.31,0.18,0.3,0.16,0.64,0.39,0.25,15,1
0.49,0.17,1.03,23.26,0.1,0.34,0.3,0.38,0.27,0.17,0.16,0.18,0.16,0.14,0.17,0.17,0.18,0.15,0.15,0.15,0.18,0.12,0.16,0.18,0.18,0.17,0.04,0.16,0.15,0.13,0.16,0.14,0.14,0.17,0.17,37,1
0.53,0.15,1.08,23.24,0.11,0.29,0.26,0.32,0.21,0.16,0.19,0.14,0.1,0.15,0.2,0.2,0.15,0.21,0.08,0.17,0.15,0.04,0.21,0.19,0.19,0.11,0.06,0.15,0.15,0.13,0.18,0.1,0.09,0.14,0.14,34,1
0.51,0.15,0.9,23.87,0.1,0.36,0.29,0.34,0.17,0.17,0.2,0.15,0.13,0.22,0.09,0.16,0.21,0.29,0.11,0.16,0.21,0.08,0.38,0.12,0.23,0.31,0.05,0.17,0.16,0.21,0.12,0.15,0.18,0.14,0.18,26,1
0.52,0.14,0.77,18.73,0.07,0.29,0.12,0.25,0.15,0.25,0.14,0.15,0.12,0.22,0.2,0.11,,0.05,0.2,0.07,0.12,,0.19,0.07,0.17,0.16,,0.17,0.33,0.14,0.18,0.5,0.1,0.13,0.15,9,1
0.48,0.16,0.68,20.41,0.08,0.5,0.33,0.38,0.2,0.17,0.22,0.19,0.15,0.17,0.2,0.17,0.18,0.18,0.16,0.17,0.2,0.11,0.19,0.19,0.21,0.2,0.07,0.19,0.17,0.13,0.16,0.16,0.16,0.17,0.18,102,1
0.45,0.19,0.89,20.04,0.1,1.12,0.26,0.42,0.25,0.17,0.25,0.18,0.2,0.15,0.17,0.19,0.19,,0.13,0.19,0.21,0.02,0.03,0.21,0.14,0.26,0.07,0.24,0.22,0.15,0.02,0.08,0.11,0.11,0.19,16,1
0.47,0.16,0.95,17.2,0.06,0.64,0.23,0.31,0.17,0.19,0.14,0.18,0.16,0.15,0.18,0.18,0.12,0.15,0.13,0.15,0.17,0.1,0.18,0.16,0.17,0.15,0.09,0.14,0.16,0.13,0.12,0.15,0.16,0.12,0.17,23,1
0.36,0.14,0.74,17.06,0.06,0.3,0.45,0.41,0.2,0.18,0.14,0.13,0.12,0.14,0.18,0.11,0.26,0.15,0.14,0.2,0.29,0.09,,0.2,0.09,0.1,0.1,0.18,,0.14,,,,0.08,0.12,26,1
0.5,0.18,1.17,17.77,0.09,0.55,0.25,0.38,0.19,0.18,0.17,0.17,0.16,0.13,0.19,0.15,0.18,0.16,0.13,0.19,0.19,0.09,0.21,0.17,0.21,0.14,0.05,0.16,0.21,0.14,0.12,0.16,0.18,0.12,0.17,7,1
0.61,0.27,2.53,14.44,0.3,1.7,0.41,0.53,0.38,0.32,0.32,0.26,0.22,0.27,0.33,0.34,0.29,0.3,0.23,0.25,0.29,0.15,0.25,0.2,0.26,0.31,0.1,0.27,0.37,0.28,0.21,0.28,0.26,0.36,0.26,17,1
0.49,0.22,0.2,15.25,0.12,0.31,0.51,0.44,0.39,0.28,0.4,0.18,0.16,0.2,0.32,0.26,0.47,0.34,0.26,0.22,0.24,0.09,0.36,0.29,0.32,0.21,0.17,0.33,0.31,0.15,0.25,0.28,0.57,0.47,0.21,18,1
0.59,0.16,1.15,21.69,0.23,0.97,0.75,0.29,0.17,0.27,0.09,0.19,0.06,0.16,0.18,,0.5,,,0.25,0.24,0.12,,0.12,0.33,0.33,0.04,0.11,0.11,0.11,,0.1,,0.23,0.1,22,1
0.51,0.15,0.7,22.41,0.13,0.32,0.43,0.29,0.19,0.16,0.23,0.14,0.11,0.19,0.29,0.15,0.21,0.11,0.12,0.27,0.22,0.06,0.14,0.09,0.13,0.08,0.05,0.23,0.35,0.14,0.2,0.17,0.22,0.17,0.12,14,1
0.48,0.16,1.22,16.45,0.08,0.82,0.35,0.38,0.27,0.22,0.2,0.15,0.13,0.16,0.23,0.18,0.17,0.34,0.13,0.24,0.2,0.1,0.21,0.18,0.21,0.2,0.08,0.17,0.17,0.16,0.15,0.19,0.21,0.18,0.17,11,1
0.58,0.21,1.96,30.08,0.22,0.58,0.33,0.39,0.27,0.29,0.29,0.2,0.2,0.2,0.19,0.21,0.28,0.28,0.17,0.21,0.23,0.15,0.3,0.2,0.26,0.25,0.1,0.2,0.22,0.19,0.18,0.25,0.22,0.19,0.17,92,1
0.51,0.17,1.22,24.14,0.14,0.75,0.2,0.34,0.17,0.16,0.22,0.21,0.2,0.17,0.09,0.17,0.13,0.13,0.13,0.11,0.12,0.74,0.16,0.12,0.21,0.17,0.11,0.07,0.13,0.17,0.02,0.1,0.1,0.16,0.09,17,1
0.65,0.2,1.97,27.5,0.3,1.33,0.35,0.41,0.26,0.21,0.35,0.22,0.2,0.24,0.24,0.19,0.27,0.29,0.19,0.25,0.31,0.11,0.24,0.17,0.29,0.24,0.1,0.21,0.29,0.22,0.16,0.25,0.27,0.22,0.19,39,1
0.51,0.15,1.28,24.37,0.14,0.38,0.28,0.34,0.19,0.17,0.2,0.17,0.15,0.13,0.11,0.17,0.15,0.19,0.15,0.14,0.13,0.07,0.15,0.13,0.17,0.18,0.03,0.14,0.16,0.12,0.1,0.16,0.08,0.16,0.12,55,1
0.5,0.1,0.77,24.05,0.07,0.3,0.19,0.24,0.11,0.11,0.14,0.1,0.08,0.1,0.11,0.09,0.12,0.13,0.08,0.11,0.14,0.04,0.05,0.11,0.1,0.1,0.04,0.1,0.13,0.08,0.11,0.08,0.06,0.09,0.13,10,1
0.48,0.16,0.86,19.13,0.04,0.31,0.31,0.43,0.21,0.17,0.28,0.18,0.14,0.17,0.18,0.2,0.19,0.24,0.14,0.18,0.16,0.1,,0.2,0.22,0.36,0.05,0.25,0.24,0.16,0.24,0.16,0.14,0.15,0.23,229,1
0.51,0.18,0.86,17.08,0.11,0.67,0.25,0.35,0.22,0.15,0.24,0.18,0.17,0.12,0.23,0.18,0.21,0.24,0.12,0.18,0.21,0.11,0.14,0.12,0.14,0.15,0.09,0.13,0.21,0.14,0.08,0.13,0.16,0.11,0.14,13,1
0.47,0.18,0.98,20.03,0.08,0.78,0.23,0.32,0.22,0.12,0.1,0.18,0.18,0.19,0.26,0.18,0.18,0.19,0.13,0.16,0.18,0.1,0.16,0.25,0.3,0.14,0.04,0.15,0.23,0.17,0.09,0.11,0.07,0.16,0.18,16,1
0.54,0.18,1.46,25.99,0.16,0.43,0.2,0.3,0.17,0.15,0.19,0.19,0.18,,,0.18,0.16,,0.12,0.14,0.2,,1,0.32,,,0.19,,0.26,0.14,,0.14,,,,12,1
0.53,0.16,1.27,25.15,0.12,0.26,0.23,0.3,0.18,0.18,0.21,0.16,0.13,0.14,0.09,0.14,0.07,0.17,0.13,0.13,0.15,0.03,0.14,0.15,0.18,0.16,0.05,0.13,0.19,0.12,0.21,0.1,0.15,0.06,0.19,24,1
0.87,0.28,5.9,37.83,0.62,1.92,0.47,0.51,0.38,0.45,0.39,0.28,0.29,0.35,0.35,0.32,0.33,0.31,0.24,0.28,0.34,0.21,0.27,0.25,0.29,0.27,0.14,0.23,0.34,0.26,0.21,0.36,0.36,0.25,0.22,9,1
0.46,0.17,0.44,18.51,0.13,0.93,0.49,0.42,0.23,0.16,0.29,0.15,0.13,0.14,0.22,0.19,0.25,0.26,0.13,0.19,0.25,0.05,0.3,0.21,0.34,0.17,0.16,0.21,0.23,0.18,0.18,0.15,0.15,0.23,0.19,5,1
0.44,0.2,0.73,22.98,0.04,0.41,0.36,0.4,0.25,0.25,0.24,0.21,0.19,0.26,0.25,0.21,0.22,0.26,0.18,0.19,0.19,0.17,0.24,0.21,0.24,0.22,0.13,0.22,0.18,0.23,0.19,0.22,0.26,0.22,0.22,21,1
0.5,0.16,0.97,25.5,0.11,0.27,0.25,0.33,0.12,0.17,0.14,0.15,0.15,0.14,0.18,0.12,0.12,0.29,0.14,0.15,0.16,0.22,0.14,0.16,0.21,0.19,0.05,0.17,0.14,0.14,,0.16,,0.08,0.23,19,1
0.51,0.15,0.46,22.48,0.09,0.54,0.2,0.25,0.21,0.27,0.12,0.13,0.12,0.21,0.32,0.13,0.21,0.09,0.16,0.26,0.27,0.19,0.26,0.25,0.4,0.28,0.04,0.22,0.23,0.17,0.2,0.2,0.18,0.44,0.2,88,1
0.47,0.2,1.2,22.66,0.09,0.37,0.26,0.37,0.25,0.28,0.23,0.2,0.19,0.36,0.31,0.24,0.19,0.12,0.17,0.22,0.24,0.1,0.29,0.3,0.31,0.26,0.04,0.21,0.22,0.21,0.18,0.4,0.29,0.26,0.21,15,1
0.5,0.2,1.08,19.85,0.12,0.45,0.39,0.41,0.27,0.23,0.24,0.22,0.2,0.18,0.19,0.21,0.22,0.17,0.18,0.19,0.2,0.12,0.19,0.26,0.23,0.17,0.08,0.23,0.22,0.17,0.22,0.21,0.25,0.19,0.2,63,1
0.55,0.19,1.41,19.59,0.22,1.54,0.37,0.46,0.23,0.21,0.38,0.16,0.18,0.23,0.2,0.19,0.36,0.31,0.18,0.29,0.2,0.32,0.21,0.16,0.22,0.2,0.11,0.21,0.18,0.19,0.18,0.23,0.22,0.24,0.16,63,1
0.74,0.22,1.18,16.21,0.11,1.47,0.33,0.38,0.25,0.24,0.28,0.22,0.22,0.2,0.22,0.21,0.28,0.19,0.15,0.18,0.19,0.19,0.27,0.15,0.2,0.27,0.12,0.15,0.23,0.18,0.16,0.19,0.28,0.21,0.2,24,1
0.51,0.14,0.85,23.42,0.08,0.27,0.25,0.32,0.18,0.15,0.22,0.17,0.11,0.11,0.1,0.16,0.16,0.11,0.13,0.14,0.15,0.07,0.09,0.15,0.2,0.15,0.05,0.1,0.12,0.13,0.09,0.14,0.11,0.08,0.17,106,1
0.54,0.23,1.48,25.22,0.15,0.29,0.36,0.37,0.28,0.22,0.1,0.18,0.14,0.53,,0.09,,,0.15,0.08,0.08,0.02,0.13,0.22,0.21,0.14,0.14,0.18,0.19,0.26,0.26,0.22,0.15,0.36,0.35,45,1
0.54,0.19,1.46,23.8,0.14,0.21,0.34,0.44,0.13,0.19,0.25,0.14,0.12,0.17,0.2,0.12,0.17,0.22,0.13,0.18,0.17,0.07,0.15,0.15,0.2,0.12,0.07,0.1,0.24,0.14,0.19,0.14,0.14,0.15,0.19,17,1
0.48,0.16,1.07,8.14,0.08,2.93,0.37,0.26,0.23,0.17,0.1,0.13,0.13,0.16,0.18,0.17,0.17,0.2,0.13,0.2,0.22,0.09,0.18,0.16,0.2,0.18,0.08,0.18,0.2,0.17,0.2,0.18,0.24,0.13,0.2,59,1
0.5,0.18,0.64,8.25,0.02,2.26,0.42,0.31,0.2,0.2,0.24,0.17,0.14,0.22,0.22,0.18,0.23,0.17,0.2,0.21,0.21,0.09,0.2,0.16,0.3,0.22,0.1,0.2,0.28,0.21,0.13,0.19,0.17,0.15,0.2,20,1
0.51,0.21,1.38,25.82,0.14,0.68,0.38,0.45,0.34,0.16,0.18,0.21,0.22,0.17,0.17,0.13,0.12,0.08,0.12,0.17,0.17,0.07,0.18,0.26,0.09,0.17,0.07,0.13,0.2,0.29,0.19,0.16,0.09,0.06,0.04,110,1
0.5,0.16,0.93,18.79,0.09,0.71,0.33,0.34,0.23,0.21,0.25,0.17,0.16,0.15,0.17,0.17,0.17,0.17,0.14,0.17,0.17,0.1,0.15,0.2,0.18,0.16,0.08,0.2,0.19,0.13,0.14,0.16,0.13,0.18,0.17,0,1
0.54,0.2,1.64,27.11,0.18,0.64,0.28,0.45,0.28,0.25,0.15,0.2,0.19,0.16,0.1,0.28,0.25,0.09,0.16,0.19,0.16,0.15,0.21,0.25,0.25,0.13,0.06,0.32,0.25,0.3,0.14,0.17,0.16,,0.92,9,1
0.55,0.17,1.23,22.68,0.1,0.37,0.32,0.33,0.19,0.16,0.26,0.13,0.13,0.14,0.18,0.17,0.18,0.27,0.12,0.19,0.18,0.08,0.14,0.17,0.18,0.14,0.08,0.17,0.17,0.14,0.16,0.14,0.19,0.13,0.16,61,1
0.66,0.27,2.7,22.48,0.3,1.93,0.45,0.51,0.37,0.29,0.34,0.28,0.25,0.23,0.25,0.29,0.3,0.31,0.27,0.26,0.29,0.22,0.25,0.23,0.3,0.28,0.12,0.25,0.29,0.26,0.24,0.27,0.29,0.28,0.23,105,1
0.78,0.21,2.52,40.59,0.47,1.42,0.32,0.38,0.26,0.23,0.2,0.2,0.17,0.29,0.23,0.22,0.25,0.3,0.18,0.22,0.25,0.18,0.25,0.21,0.22,0.24,0.09,0.18,0.23,0.21,0.16,0.16,0.21,0.19,0.21,40,1
0.41,0.15,0.79,4.78,0.05,3.34,0.26,0.41,0.21,0.13,0.2,0.16,0.17,0.18,0.23,0.32,0.21,0.12,0.16,0.21,0.25,0.09,0.19,0.16,0.13,0.14,0.07,0.16,0.21,0.16,0.08,0.13,0.46,0.13,0.16,57,1
0.44,0.11,0.82,16,0.07,0.36,0.13,0.39,0.11,0.08,0.12,0.11,0.1,0.08,0.13,0.08,0.04,0.1,0.08,0.14,0.16,0.08,0.16,0.12,0.13,0.04,0.18,0.12,0.13,0.15,0.11,0.09,0.11,0.09,0.11,19,1
0.49,0.15,1.06,18.45,0.07,0.87,0.31,0.31,0.17,0.19,0.18,0.14,0.13,0.21,0.25,0.13,0.21,0.18,0.16,0.18,0.17,0.08,0.24,0.19,0.22,0.2,0.08,0.21,0.18,0.17,0.16,0.24,0.27,0.22,0.19,29,1
0.46,0.17,1.49,20.44,0.14,0.5,0.29,0.36,0.22,0.19,0.18,0.12,0.12,0.2,0.22,0.15,0.23,0.13,0.13,0.19,0.16,0.12,0.21,0.21,0.21,0.23,0.08,0.18,0.21,0.16,0.2,0.21,0.22,0.19,0.2,13,1
0.62,0.18,2.12,25.02,0.19,0.72,0.29,0.35,0.23,0.15,0.15,0.18,0.15,0.2,0.21,0.2,0.2,0.21,0.14,0.2,0.21,0.11,0.23,0.24,0.22,0.22,0.09,0.2,0.2,0.17,0.17,0.13,0.19,0.19,0.23,22,1
0.46,0.17,0.6,18.15,0.03,0.32,0.38,0.34,0.2,0.18,0.24,0.18,0.14,0.2,0.19,0.2,0.21,0.23,0.16,0.16,0.19,0.15,0.18,0.18,0.23,0.2,0.1,0.19,0.19,0.17,0.16,0.15,0.22,0.17,0.2,24,1
0.49,0.17,0.97,23.83,0.09,0.28,0.44,0.39,0.26,0.2,0.21,0.19,0.15,0.21,0.31,0.18,0.32,0.21,0.14,0.2,0.19,0.07,0.24,0.24,0.22,0.21,0.05,0.21,0.21,0.16,0.21,0.17,0.31,0.17,0.21,133,1
0.5,0.16,1.08,18.56,0.1,0.37,0.27,0.38,0.25,0.15,0.11,0.16,0.15,0.13,0.21,0.17,0.2,0.11,0.14,0.16,0.18,0.12,0.17,0.21,0.19,0.18,0.05,0.21,0.19,0.14,0.16,0.13,0.16,0.12,0.17,73,1
0.51,0.14,0.9,19.84,0.07,0.3,0.32,0.4,0.18,0.16,0.15,0.14,0.1,0.17,0.1,0.18,0.14,0.3,0.11,0.18,0.17,0.07,0.22,0.19,0.21,0.24,0.08,0.18,0.19,0.14,0.22,0.14,0.12,0.15,0.17,45,1
0.62,0.2,1.16,13.2,0.06,2.49,0.41,0.52,0.29,0.22,0.2,0.17,0.16,0.13,0.19,0.2,0.13,0.54,0.16,0.2,0.15,0.18,0.13,0.2,0.2,0.2,0.08,0.2,0.2,0.13,0.1,0.18,0.17,0.2,0.31,30,1
0.46,0.19,1.18,14.52,0.09,0.56,0.17,0.44,0.2,0.21,0.17,0.18,0.2,0.24,0.15,0.17,0.2,,0.19,0.2,0.17,0.08,0.19,0.31,0.2,0.23,0.13,0.22,0.17,0.12,,0.14,,0.17,0.19,38,1
0.53,0.17,1.18,19.44,0.07,0.44,0.22,0.31,0.25,0.17,0.09,0.17,0.16,0.19,0.17,0.22,0.16,0.06,0.16,0.12,0.16,0.13,0.19,0.18,0.2,0.14,0.02,0.16,0.2,0.18,0.11,0.15,0.08,0.14,0.25,146,1
0.49,0.18,0.94,14.31,0.08,0.79,0.25,0.22,0.18,0.21,0.33,0.17,0.17,0.2,0.35,0.24,0.21,0.17,0.13,0.2,0.28,0.13,0.19,0.22,0.22,0.2,0.1,0.15,0.37,0.15,0.17,0.19,0.18,0.14,0.15,21,1
0.51,0.19,1.35,23.63,0.13,0.37,0.25,0.32,0.31,0.26,0.23,0.22,0.21,0.2,0.14,0.28,0.18,0.3,0.23,0.12,0.11,0.17,0.11,0.2,0.31,0.19,0.09,0.12,0.21,0.15,0.12,0.18,0.29,0.19,0.19,6,1
0.49,0.19,0.84,23.12,0.07,0.21,0.35,0.33,0.27,0.18,0.23,0.2,0.16,0.18,0.23,0.2,0.18,0.14,0.16,0.18,0.22,0.14,0.24,0.24,0.27,0.23,0.08,0.22,0.18,0.16,0.21,0.15,0.17,0.17,0.2,29,1
0.49,0.2,1.07,24.29,0.1,0.24,0.41,0.41,0.23,0.22,0.25,0.18,0.18,0.16,0.18,0.24,0.22,0.22,0.16,0.22,0.22,0.14,0.23,0.21,0.21,0.21,0.09,0.22,0.21,0.17,0.17,0.22,0.18,0.16,0.18,43,1
0.48,0.16,0.66,11.72,0.09,2.32,0.3,0.38,0.24,0.11,0.15,0.18,0.16,0.19,,0.16,,0.33,0.17,0.15,0.18,,0.13,0.11,0.31,0.1,,1,,0.09,,,,0.11,0.2,23,1
0.43,0.16,0.71,23.32,0.09,0.41,0.17,0.32,0.16,0.19,0.21,0.13,0.1,0.19,0.25,0.13,0.18,0.07,0.13,0.19,0.22,0.11,0.22,0.21,0.28,0.2,0.15,0.34,0.22,0.16,0.23,0.17,0.12,0.17,0.23,30,1
0.49,0.18,1.21,16.89,0.09,0.83,0.32,0.43,0.23,0.24,0.21,0.16,0.14,0.19,0.26,0.19,0.21,0.33,0.18,0.25,0.18,0.12,0.21,0.19,0.25,0.16,0.08,0.22,0.31,0.15,0.13,0.21,0.28,0.18,0.21,27,1
0.51,0.18,1.02,25.22,0.12,0.31,0.38,0.39,0.23,0.22,0.2,0.21,0.16,0.16,0.23,0.23,0.19,0.21,0.17,0.19,0.19,0.08,0.17,0.15,0.16,0.12,0.05,0.17,0.19,0.18,0.14,0.15,0.18,0.18,0.17,54,1
0.52,0.18,1.04,21.31,0.11,0.23,0.18,0.4,0.26,0.27,0.15,0.21,0.19,0.22,0.12,0.21,0.24,,0.15,0.07,0.19,0.15,0.14,0.13,0.18,0.18,0.05,0.26,0.22,0.15,0.16,0.14,0.22,0.13,0.22,99,1
0.49,0.28,2.99,17.01,0.1,2.25,0.83,0.66,0.34,0.27,0.47,0.22,0.73,0.39,0.39,0.39,0.31,0.38,0.36,0.27,0.33,0.21,0.29,0.24,0.45,0.31,0.57,0.29,0.44,0.36,0.2,0.24,0.35,0.4,0.29,31,1
0.41,0.21,1.34,12.35,0.12,1.07,0.33,0.38,0.27,0.23,0.35,0.21,0.19,0.24,0.17,0.24,0.25,0.34,0.2,0.21,0.26,0.14,0.23,0.27,0.21,0.22,0.13,0.25,0.21,0.19,0.17,0.21,0.15,0.16,0.21,78,1
0.49,0.18,0.95,22.31,0.11,0.34,0.34,0.42,0.25,0.24,0.24,0.2,0.17,0.2,0.19,0.2,0.2,0.18,0.16,0.17,0.19,0.09,0.2,0.2,0.2,0.17,0.04,0.17,0.18,0.14,0.15,0.16,0.32,0.2,0.17,77,1
0.45,0.17,0.85,15.99,0.07,0.5,0.36,0.46,0.18,0.24,0.26,0.17,0.16,0.2,0.2,0.16,0.19,,0.14,0.12,0.14,0.09,0.3,0.19,0.14,0.22,0.07,0.25,0.22,0.2,0.22,0.18,0.24,0.13,0.25,25,1
0.52,0.18,0.91,20.93,0.15,0.52,0.39,0.42,0.2,0.18,0.3,0.18,0.15,0.22,0.15,0.18,0.23,0.32,0.13,0.19,0.21,0.2,0.27,0.26,0.21,0.19,0.13,0.21,0.22,0.15,0.18,0.17,0.41,0.19,0.27,129,1
0.51,0.18,1.12,9.25,0.15,2,0.32,0.34,0.25,0.15,0.24,0.15,0.16,0.14,0.28,0.21,0.16,0.22,0.22,0.15,0.17,0.09,0.28,0.13,0.21,0.2,0.05,0.2,0.28,0.2,0.19,0.5,0.12,0.2,0.17,28,1
0.53,0.2,1.1,23.79,0.11,0.83,0.41,0.43,0.22,0.26,0.33,0.17,0.17,0.2,0.22,0.21,0.21,0.28,0.18,0.27,0.25,0.12,0.18,0.2,0.22,0.19,0.11,0.19,0.25,0.19,0.18,0.22,0.2,0.2,0.22,34,1
0.54,0.14,1.29,24.27,0.1,0.26,0.32,0.33,0.23,0.17,0.15,0.15,0.14,0.15,0.14,0.14,0.14,0.17,0.13,0.14,0.16,0.07,0.15,0.14,0.15,0.14,0.06,0.19,0.18,0.13,0.18,0.16,0.12,0.15,0.13,842,1
0.51,0.25,1.27,14.71,0.17,1.08,0.36,0.37,0.23,0.31,0.19,0.24,0.19,0.27,0.19,0.23,0.19,0.11,0.2,0.37,0.37,0.12,0.28,0.26,0.29,0.28,0.09,0.3,0.26,0.36,0.2,0.22,0.26,0.24,0.25,13,1
0.56,0.18,1.57,26.34,0.17,0.59,0.32,0.37,0.2,0.18,0.17,0.15,0.14,0.19,0.23,0.15,0.21,0.17,0.17,0.18,0.19,0.15,0.26,0.21,0.2,0.17,0.08,0.18,0.18,0.21,0.15,0.12,0.16,0.19,0.32,6,1
0.5,0.17,1.03,20.95,0.08,0.35,0.37,0.34,0.2,0.21,0.31,0.2,0.14,0.18,0.2,0.19,0.22,0.24,0.15,0.07,0.13,0.13,0.27,0.24,0.21,0.18,0.02,0.2,0.22,0.18,0.21,0.19,0.16,0.2,0.19,19,1
0.62,0.33,7.23,21.16,0.39,1.74,0.64,0.66,0.47,0.4,0.44,0.29,0.29,0.26,0.61,0.35,0.56,,0.11,0.35,0.41,0.23,0.25,0.33,0.31,0.29,0.19,0.25,0.43,0.33,0.23,0.69,1.29,0.22,0.36,16,1
0.5,0.17,1.12,19.91,0.12,0.94,0.28,0.37,0.19,0.13,0.49,0.17,0.22,0.12,0.14,0.15,0.22,0.11,0.14,0.15,0.27,0.14,0.17,0.13,0.19,0.13,0.1,0.18,0.17,0.15,0.13,0.13,0.19,0.14,0.12,10,1
0.46,0.15,0.77,17.82,0.09,0.7,0.3,0.35,0.17,0.13,0.14,0.14,0.13,0.2,0.17,0.2,0.24,0.33,0.19,0.16,0.16,0.11,0.17,0.23,0.26,0.13,0.09,0.13,0.32,0.16,0.13,0.12,0.43,0.14,0.12,4,1
0.68,0.17,1.79,32.52,0.31,0.71,0.58,0.73,0.38,0.28,0.53,0.18,0.09,0.15,0.5,0.19,0.26,,0.1,0.37,0.34,0.06,0.15,0.13,0.15,0.13,0.17,0.23,0.62,0.12,0.11,1,0.5,0.12,0.22,18,1
0.5,0.15,0.99,19.86,0.09,0.72,0.14,0.2,0.18,0.2,0.09,0.15,0.12,0.15,0.2,0.16,0.24,0.18,0.14,0.19,0.19,0.1,0.16,0.13,0.17,0.15,0.07,0.14,0.17,0.16,0.15,0.15,0.21,0.16,0.16,126,1
