win_ratio,total_accuracy,kill_to_death_ratio,total_wins_per_hour,mvp_per_round,total_headshots_per_round,accuracy_ssg08,accuracy_awp,accuracy_deagle,accuracy_aug,accuracy_scar20,accuracy_m4a1,accuracy_ak47,accuracy_bizon,accuracy_elite,accuracy_famas,accuracy_fiveseven,accuracy_g3sg1,accuracy_galilar,accuracy_glock,accuracy_hkp2000,accuracy_m249,accuracy_mac10,accuracy_mag7,accuracy_mp7,accuracy_mp9,accuracy_negev,accuracy_nova,accuracy_p250,accuracy_p90,accuracy_sawedoff,accuracy_sg556,accuracy_tec9,accuracy_ump45,accuracy_xm1014,total_games_owned,VACBanned
0.81,0.15,1.28,28.99,0.29,0.44,0.08,0.32,0.14,0.1,0.35,0.15,0.14,0.05,,0.19,1,0.18,0.14,0.12,0.19,,0.29,0.2,0.12,0.33,,0.06,0.2,0.15,0.08,0.03,0,0.15,,18,1
0.57,0.18,1.16,22.39,0.08,0.58,0.2,0.4,0.18,0.19,0.21,0.16,0.17,0.23,0.21,0.23,0.2,0.16,0.27,0.22,0.24,0.12,0.23,0.27,0.21,0.16,0.07,0.2,0.25,0.17,0.16,0.18,0.21,0.15,0.19,79,1
0.56,0.22,2.02,20.68,0.15,1.47,0.29,0.38,0.63,0.17,0.22,0.21,0.13,0.21,0.31,0.21,0.12,0.1,0.18,0.44,0.27,0.08,0.21,0.21,0.19,0.21,0.09,0.24,0.2,0.18,0.12,0.2,0.2,0.18,0.17,12,1
0.6,0.16,1.36,33.55,0.12,0.43,0.32,0.36,0.19,0.18,0.14,0.16,0.15,0.23,0.17,0.18,0.19,0.18,0.16,0.13,0.13,0.11,0.19,0.2,0.21,0.19,0.05,0.17,0.18,0.15,0.16,0.16,0.15,0.13,0.12,18,1
0.53,0.21,1.3,12,0.13,0.86,0.4,0.43,0.26,0.2,0.26,0.19,0.17,0.21,0.21,0.21,0.25,0.3,0.22,0.22,0.26,0.11,0.23,0.28,0.25,0.2,0.08,0.23,0.25,0.17,0.2,0.22,0.27,0.21,0.19,61,1
0.48,0.18,1.26,25.37,0.16,0.41,0.26,0.37,0.27,0.19,0.19,0.17,0.16,0.18,0.05,0.19,0.24,0.14,0.16,0.17,0.21,0.13,,0.18,0.23,0.23,0.08,0.16,0.2,0.16,0.06,0.19,0.38,0.16,0.17,30,1
0.51,0.19,1.18,19.3,0.1,0.76,0.26,0.38,0.25,0.21,0.21,0.18,0.18,0.19,0.2,0.2,0.2,0.18,0.17,0.15,0.2,0.09,0.2,0.26,0.19,0.21,0.07,0.25,0.21,0.19,0.23,0.18,0.23,0.15,0.21,153,1
0.6,0.13,1.45,20.37,0.12,0.81,0.15,0.31,0.32,0.14,0.07,0.15,0.12,0.05,,,0.02,0.28,0.07,0.14,0.15,,,0.04,0.07,,,,,0.12,,0.1,0.1,,,15,1
0.58,0.2,1.6,28.77,0.17,0.51,0.42,0.47,0.25,0.26,0.23,0.2,0.19,0.18,0.19,0.19,0.2,0.27,0.18,0.18,0.2,0.04,0.13,0.16,0.2,0.11,0.02,0.22,0.18,0.21,0.22,0.25,0.19,0.19,0.17,23,1
0.43,0.14,0.91,21.73,0.1,0.76,0.22,0.27,0.16,0.21,0.24,0.14,0.15,0.06,0.11,0.13,0.1,0.05,0.1,0.14,0.14,,,0.15,0.12,0.08,0.06,0.09,0.13,0.09,,0.14,0.1,0.05,0.12,16,1
0.49,0.17,0.98,22.15,0.11,0.45,0.51,0.39,0.23,0.53,0.17,0.18,0.16,0.13,0.2,0.17,0.15,0.39,0.23,0.14,0.17,0.05,0.15,0.23,0.25,0.75,0.07,0.21,0.15,0.14,0.17,0.32,0.17,0.29,0.17,46,1
0.54,0.13,1.03,26.73,0.13,0.44,0.18,0.35,0.15,0.12,0.08,0.13,0.11,0.14,0.22,0.16,,0.08,0.13,0.16,0.18,0.15,0.11,,0.2,0.12,0.06,0.14,0.16,0.14,,0.1,,0.14,0.05,14,1
0.56,0.18,0.73,22.49,0.15,0.46,0.2,0.38,0.23,0.26,0.22,0.24,0.17,0.23,0.19,0.18,0.12,0.12,0.11,0.14,0.18,0.05,0.27,0.25,0.2,,0.09,0.1,0.09,0.15,0.13,0.1,0.09,,0.19,78,1
0.52,0.21,1.56,20.22,0.11,0.46,0.41,0.46,0.25,0.22,0.29,0.21,0.2,0.18,0.2,0.21,0.21,0.26,0.18,0.2,0.22,0.17,0.19,0.19,0.19,0.18,0.1,0.22,0.21,0.19,0.18,0.21,0.19,0.17,0.21,26,1
0.52,0.18,0.97,20.52,0.16,1.34,0.21,0.35,0.19,0.1,0.2,0.18,0.18,0.15,0.23,0.21,0.21,0.1,0.16,0.18,0.23,0.1,0.27,0.2,0.2,0.15,0.03,0.2,0.18,0.11,0.08,0.12,0.14,0.16,0.17,19,1
0.52,0.16,1.45,24.85,0.15,0.57,0.52,0.4,0.22,0.19,0.25,0.15,0.15,0.16,0.22,0.17,0.26,0.16,0.12,0.15,0.18,0.15,0.25,0.22,0.16,0.19,0.09,0.22,0.19,0.17,0.16,0.22,0.23,0.17,0.19,24,1
0.51,0.15,1.21,22.92,0.11,0.48,0.28,0.37,0.18,0.23,0.21,0.14,0.13,0.2,0.19,0.12,0.18,0.15,0.12,0.16,0.18,0.13,0.22,0.17,0.2,0.22,0.07,0.23,0.29,0.17,0.17,0.18,0.29,0.17,0.22,54,1
0.51,0.18,1.29,23.25,0.11,0.64,0.35,0.43,0.22,0.19,0.15,0.19,0.16,0.18,0.19,0.18,0.18,0.16,0.15,0.19,0.21,0.11,0.21,0.22,0.27,0.24,0.06,0.19,0.19,0.15,0.17,0.17,0.14,0.13,0.21,28,1
0.48,0.15,1.06,19.42,0.1,0.3,0.39,0.32,0.15,0.2,0.15,0.12,0.12,0.18,,0.15,0.26,0.06,0.12,0.14,0.15,0.2,0.19,0.2,0.19,0.18,0.13,0.2,0.24,0.13,0.18,0.19,0.2,0.15,0.21,13,1
0.45,0.18,1.19,20.29,0.17,2.45,0.5,0.35,0.27,0.24,0.14,0.17,0.18,0.21,0.23,0.22,0.26,0.27,0.2,0.18,0.2,0.13,0.19,0.21,0.19,0.16,0.13,0.22,0.24,0.18,0.19,0.2,0.26,0.16,0.21,88,1
0.52,0.16,0.89,14.83,0.12,1.06,0.11,0.3,0.2,0.16,0.25,0.12,0.1,0.2,0.33,0.15,0.28,0.11,0.15,0.27,0.32,0.08,0.21,0.12,0.22,0.15,0.09,0.18,0.18,0.15,0.22,0.11,0.34,0.17,0.15,37,1
0.51,0.21,1.01,15.51,0.1,1.26,0.33,0.33,0.26,0.24,0.33,0.17,0.15,0.21,0.21,0.22,0.25,0.31,0.16,0.26,0.25,0.14,0.22,0.21,0.24,0.21,0.1,0.21,0.24,0.2,0.18,0.22,0.2,0.21,0.2,18,1
0.56,0.2,1.01,29.08,0.09,0.7,0.35,0.39,0.27,0.24,0.28,0.19,0.19,0.22,0.2,0.21,0.27,0.29,0.21,0.23,0.21,0.15,0.2,0.17,0.24,0.2,0.13,0.2,0.26,0.22,0.17,0.25,0.23,0.19,0.19,32,1
0.57,0.27,1.83,22.88,0.19,1.41,0.32,0.59,0.41,0.38,0.44,0.24,0.26,0.4,,0.26,0.23,,0.23,0.28,0.3,0.08,,,,,,0.3,0.33,0.18,0.2,0.25,,,,13,1
0.47,0.15,1.03,8.48,0.1,1.49,0.29,0.39,0.14,0.17,0.2,0.16,0.09,0.16,0.23,0.14,0.17,0.16,0.14,0.14,0.2,0.07,0.19,0.17,0.17,0.15,0.08,0.2,0.14,0.15,0.12,0.15,0.25,0.13,0.14,27,1
